iter	Passed	Remaining
0	14	14356
1	28	14101
2	38	12873
3	50	12640
4	62	12507
5	77	12812
6	89	12761
7	102	12708
8	128	14105
9	142	14146
10	154	13899
11	167	13757
12	179	13615
13	192	13525
14	204	13436
15	219	13520
16	232	13469
17	247	13524
18	262	13529
19	274	13430
20	284	13268
21	298	13277
22	311	13232
23	326	13274
24	339	13242
25	351	13151
26	363	13110
27	375	13042
28	386	12940
29	398	12900
30	411	12863
31	423	12807
32	433	12711
33	445	12651
34	456	12594
35	467	12521
36	478	12459
37	492	12468
38	506	12473
39	516	12403
40	528	12354
41	541	12340
42	552	12292
43	562	12221
44	577	12255
45	590	12247
46	605	12270
47	618	12272
48	634	12311
49	647	12295
50	661	12315
51	678	12375
52	693	12393
53	710	12438
54	727	12493
55	743	12527
56	761	12595
57	780	12669
58	795	12691
59	810	12700
60	825	12708
61	840	12710
62	854	12709
63	868	12706
64	883	12709
65	897	12704
66	912	12701
67	924	12667
68	937	12646
69	951	12635
70	964	12614
71	976	12584
72	988	12555
73	1002	12540
74	1015	12522
75	1029	12510
76	1041	12484
77	1054	12469
78	1068	12453
79	1082	12448
80	1097	12456
81	1113	12460
82	1126	12443
83	1140	12438
84	1153	12420
85	1167	12405
86	1184	12429
87	1200	12436
88	1215	12441
89	1230	12443
90	1244	12433
91	1260	12443
92	1271	12398
93	1283	12370
94	1296	12347
95	1309	12330
96	1324	12329
97	1336	12303
98	1349	12279
99	1362	12264
100	1377	12264
101	1391	12253
102	1406	12245
103	1419	12230
104	1432	12206
105	1446	12201
106	1463	12212
107	1479	12215
108	1493	12209
109	1505	12184
110	1518	12163
111	1530	12135
112	1544	12125
113	1558	12109
114	1572	12102
115	1586	12090
116	1601	12088
117	1612	12055
118	1626	12038
119	1640	12031
120	1654	12018
121	1664	11981
122	1677	11963
123	1691	11951
124	1704	11933
125	1716	11909
126	1727	11876
127	1741	11861
128	1755	11852
129	1769	11841
130	1783	11830
131	1794	11800
132	1806	11774
133	1819	11756
134	1831	11734
135	1843	11714
136	1858	11706
137	1874	11711
138	1889	11705
139	1904	11700
140	1918	11686
141	1929	11657
142	1940	11627
143	1953	11613
144	1969	11614
145	1983	11600
146	1996	11586
147	2011	11577
148	2024	11564
149	2040	11562
150	2054	11552
151	2075	11580
152	2092	11582
153	2110	11594
154	2125	11585
155	2140	11579
156	2155	11574
157	2173	11584
158	2195	11613
159	2214	11623
160	2238	11666
161	2273	11759
162	2298	11803
163	2346	11961
164	2377	12033
165	2395	12034
166	2412	12034
167	2429	12032
168	2449	12046
169	2470	12060
170	2487	12061
171	2512	12095
172	2536	12123
173	2564	12172
174	2586	12192
175	2608	12213
176	2631	12237
177	2666	12315
178	2703	12399
179	2743	12499
180	2777	12566
181	2800	12586
182	2829	12632
183	2853	12654
184	2878	12679
185	2907	12722
186	2929	12736
187	2949	12739
188	2973	12761
189	2997	12779
190	3027	12823
191	3055	12858
192	3074	12856
193	3093	12851
194	3126	12906
195	3147	12909
196	3173	12935
197	3196	12949
198	3219	12959
199	3237	12951
200	3262	12970
201	3287	12986
202	3309	12992
203	3328	12988
204	3359	13028
205	3382	13036
206	3401	13031
207	3424	13040
208	3444	13036
209	3459	13015
210	3477	13004
211	3494	12988
212	3512	12978
213	3532	12975
214	3553	12975
215	3571	12965
216	3589	12951
217	3609	12947
218	3625	12930
219	3643	12919
220	3661	12905
221	3675	12882
222	3691	12861
223	3707	12843
224	3723	12824
225	3739	12807
226	3755	12788
227	3772	12772
228	3787	12750
229	3803	12733
230	3819	12715
231	3834	12692
232	3851	12677
233	3869	12667
234	3884	12646
235	3902	12634
236	3919	12619
237	3938	12610
238	3953	12589
239	3971	12577
240	3985	12553
241	4002	12538
242	4017	12515
243	4035	12503
244	4050	12482
245	4066	12463
246	4081	12441
247	4094	12416
248	4108	12392
249	4124	12372
250	4139	12353
251	4153	12329
252	4167	12305
253	4183	12286
254	4208	12294
255	4224	12278
256	4239	12257
257	4256	12240
258	4271	12222
259	4287	12204
260	4304	12188
261	4320	12168
262	4333	12144
263	4357	12147
264	4371	12125
265	4387	12105
266	4405	12094
267	4423	12082
268	4440	12066
269	4457	12052
270	4480	12053
271	4501	12048
272	4519	12035
273	4542	12035
274	4561	12026
275	4578	12009
276	4600	12008
277	4621	12002
278	4638	11986
279	4657	11975
280	4674	11960
281	4693	11950
282	4718	11954
283	4739	11949
284	4765	11954
285	4787	11951
286	4806	11940
287	4826	11931
288	4843	11914
289	4864	11909
290	4891	11918
291	4910	11906
292	4928	11892
293	4942	11868
294	4959	11851
295	4974	11831
296	4990	11813
297	5005	11791
298	5023	11776
299	5039	11757
